amount,grade,years,ownership,income,age
8000,A,2,RENT,42000,23
10000,C,4,RENT,33996,25
10000,A,16,MORTGAGE,58500,30
9000,C,3,RENT,36000,22
5600,C,0,RENT,39000,22
17000,A,16,MORTGAGE,135000,24
13000,D,1,OTHER,57500,25
5000,A,5,MORTGAGE,42082,27
12000,B,15,OWN,49536,27
35000,D,10,MORTGAGE,350000,35
6000,A,0,RENT,35000,29
9500,A,4,MORTGAGE,100000,32
21000,B,17,RENT,110000,39
10000,A,5,RENT,55000,24
7000,B,19,MORTGAGE,69600,25
12000,C,5,RENT,65000,22
13200,D,0,RENT,60000,26
20000,B,5,MORTGAGE,100000,23
2000,B,2,RENT,75000,24
12000,A,6,RENT,36000,29
9500,A,12,MORTGAGE,48152,23
4500,A,4,RENT,32000,45
23500,B,,RENT,51600,34
4400,A,11,OWN,41520,25
13000,B,5,RENT,39000,22
2500,C,1,RENT,52180,24
10000,C,5,RENT,54996,24
5000,A,0,RENT,28140,29
4500,A,3,RENT,50000,22
18000,E,2,RENT,65000,26
2000,C,2,RENT,27600,23
8525,A,2,RENT,51600,62
3000,A,11,MORTGAGE,87000,28
12000,B,9,MORTGAGE,77000,40
5000,A,8,OWN,65000,27
3000,B,5,RENT,35000,22
6000,A,0,RENT,55182.4,40
2250,C,,MORTGAGE,17352,22
6075,A,3,MORTGAGE,37000,24
8000,D,4,RENT,19200,22
12000,A,1,MORTGAGE,100000,31
16000,F,4,MORTGAGE,85000,31
1500,A,1,RENT,33996,23
13000,D,14,RENT,28000,26
10000,A,4,RENT,40000,25
25000,E,4,RENT,55000,41
8000,C,7,OWN,34000,27
1000,A,12,MORTGAGE,42806,23
8525,C,29,RENT,110000,30
11500,A,5,RENT,62500,24
35000,D,7,MORTGAGE,100000,23
14500,B,0,MORTGAGE,45760,30
12000,A,5,MORTGAGE,69996,24
6000,C,11,RENT,29000,23
12000,A,,RENT,41830.08,32
5125,B,,OWN,50000,27
6625,A,1,MORTGAGE,64000,22
5000,A,25,OWN,36000,31
10000,B,7,OWN,35000,23
5000,B,3,RENT,65000,22
3600,B,0,RENT,40000,24
7500,B,11,MORTGAGE,79000,25
10000,C,15,RENT,30000,46
18500,B,4,RENT,34300,24
2500,D,2,RENT,18000,27
3000,B,23,MORTGAGE,54000,22
25000,B,9,MORTGAGE,93600,21
6000,B,1,RENT,112000,28
11425,B,8,MORTGAGE,57000,22
25000,B,11,RENT,48000,33
6800,A,5,RENT,70000,25
7000,A,11,RENT,52000,26
25000,D,1,MORTGAGE,64000,26
5000,A,2,MORTGAGE,62000,23
15000,A,11,OTHER,70000,28
15000,B,19,RENT,42000,23
5600,C,1,MORTGAGE,85000,24
25000,D,3,RENT,90000,39
11300,B,7,MORTGAGE,36000,23
7200,A,32,MORTGAGE,29000,26
7000,D,6,MORTGAGE,37000,25
8000,C,7,MORTGAGE,99220,24
2500,C,6,MORTGAGE,55000,34
16000,B,1,RENT,75000,26
10000,B,10,RENT,56004,23
7000,A,0,RENT,97600,42
16725,B,5,MORTGAGE,69638.4,27
5000,D,5,MORTGAGE,95000,23
9000,A,4,MORTGAGE,81804,33
10000,A,9,RENT,52000,29
10000,C,17,MORTGAGE,60000,26
3000,A,,MORTGAGE,18000,47
10000,A,0,RENT,21120,32
15000,C,0,MORTGAGE,82000,28
3800,A,0,MORTGAGE,47000,29
8500,A,4,MORTGAGE,36500,33
15000,B,5,MORTGAGE,74000,32
5000,C,4,RENT,58000,23
1500,A,,RENT,45000,30
25000,D,15,RENT,72000,25
8000,G,0,RENT,30000,35
3975,B,5,MORTGAGE,35568,29
15250,C,6,MORTGAGE,55493,26
4000,A,2,MORTGAGE,51000,26
30000,D,3,RENT,160000,61
7500,D,17,MORTGAGE,145900,25
12000,B,3,OWN,30000,26
6000,B,11,MORTGAGE,45996,37
12000,A,4,MORTGAGE,113000,23
14500,C,8,RENT,90000,33
4500,C,6,RENT,41000,23
5000,B,0,RENT,16320,22
35000,B,6,MORTGAGE,110000,30
18000,D,13,OWN,60000,27
10000,D,16,RENT,75000,26
5000,A,5,RENT,27360,22
20000,A,11,RENT,58800,23
4375,A,7,MORTGAGE,17108,38
9000,A,3,RENT,50760,26
6000,B,2,MORTGAGE,60000,21
2500,B,5,RENT,44500,27
12000,A,5,MORTGAGE,80400,24
4000,B,5,MORTGAGE,37620,28
3000,B,1,RENT,18000,23
12000,A,7,MORTGAGE,30000,23
5000,B,18,MORTGAGE,70000,26
5500,C,5,RENT,24000,30
5400,A,7,MORTGAGE,75000,21
1200,E,9,OWN,30000,25
24000,A,3,MORTGAGE,153660,35
30000,D,6,MORTGAGE,120000,39
9000,A,6,RENT,56000,24
15000,C,6,MORTGAGE,48000,29
10000,C,4,RENT,70000,24
5000,C,34,MORTGAGE,47000,25
25000,F,5,MORTGAGE,75000,28
9000,A,7,MORTGAGE,125000,27
1000,A,5,RENT,45000,24
5500,B,1,RENT,30000,22
11000,C,5,OWN,100000,28
3600,B,0,OWN,70000,23
2400,C,1,RENT,21600,23
19400,C,3,MORTGAGE,70500,32
9250,D,10,RENT,38000,29
6000,A,6,MORTGAGE,100000,58
15000,C,23,RENT,45000,23
25000,D,0,RENT,90000,28
6000,A,1,MORTGAGE,54000,25
9000,B,8,RENT,36120,21
3200,B,2,RENT,12000,32
2000,B,5,RENT,32640,24
7500,C,,MORTGAGE,34400,27
8250,B,4,RENT,33000,21
10000,A,6,RENT,24000,22
12250,B,5,OWN,43200,28
4750,C,,OWN,10400,27
10000,B,6,RENT,68496,22
16000,C,16,MORTGAGE,106800,24
13000,B,4,MORTGAGE,87000,25
1000,C,0,RENT,18000,28
14400,A,4,MORTGAGE,59000,21
18300,B,5,MORTGAGE,74900,24
15000,B,1,RENT,100000,24
5000,C,0,RENT,42000,23
7000,B,19,MORTGAGE,73000,23
7500,B,0,RENT,36684,41
7500,A,4,RENT,34000,29
4000,D,2,MORTGAGE,143123,24
12000,B,0,MORTGAGE,35400,21
10000,A,6,MORTGAGE,108000,27
10000,D,1,RENT,36000,27
15000,B,4,RENT,75000,23
6000,A,1,RENT,50000,24
15250,D,3,MORTGAGE,60000,30
15000,C,1,RENT,47000,23
2200,B,11,MORTGAGE,50123,28
6500,B,3,MORTGAGE,95000,54
5750,C,3,RENT,85000,42
15000,A,12,MORTGAGE,85000,24
9000,A,2,RENT,62604,25
35000,E,14,RENT,270000,27
4200,B,5,MORTGAGE,33000,29
8000,A,0,RENT,90000,22
14400,B,18,MORTGAGE,180000,25
6000,B,2,MORTGAGE,60000,21
5000,C,4,MORTGAGE,85000,40
5000,D,0,RENT,21600,25
10000,A,5,MORTGAGE,54000,34
6000,C,11,MORTGAGE,66000,29
4250,B,7,RENT,50000,22
6650,B,2,RENT,56000,24
10000,D,2,RENT,45000,23
7000,C,2,RENT,38000,29
20000,B,1,MORTGAGE,145000,32
20000,B,0,RENT,240000,32
16000,D,19,RENT,65000,29
12025,B,3,MORTGAGE,80000,36
20000,E,4,RENT,62000,21
4000,D,5,MORTGAGE,30000,31
8000,A,24,MORTGAGE,57200,21
6200,A,14,MORTGAGE,65000,30
5000,B,4,RENT,32000,23
3000,C,2,RENT,36000,47
18500,C,2,RENT,55784,25
3500,C,2,MORTGAGE,125000,29
8800,A,16,MORTGAGE,60000,31
4200,C,6,RENT,30000,28
7000,B,12,RENT,37000,23
1400,A,,MORTGAGE,30108,29
8000,A,1,RENT,55000,22
5250,A,3,RENT,24000,23
6000,B,0,RENT,90000,30
18000,B,0,MORTGAGE,200000,24
1000,B,0,RENT,33600,54
14000,B,2,RENT,70000,25
25000,B,2,RENT,100000,25
9000,A,9,MORTGAGE,62000,29
10000,C,15,MORTGAGE,186480,28
6500,A,7,RENT,28000,26
7750,D,1,MORTGAGE,60000,45
9000,A,7,RENT,45000,22
11000,A,5,MORTGAGE,64800,24
2950,D,4,RENT,9600,26
2500,A,1,MORTGAGE,32000,25
15000,D,10,MORTGAGE,75000,25
1800,B,22,MORTGAGE,100000,35
5000,C,2,RENT,45000,22
6000,B,3,RENT,67000,27
15000,C,2,RENT,75000,27
20000,C,4,MORTGAGE,62000,29
1000,B,11,RENT,35000,25
9875,A,4,RENT,30000,22
8000,A,1,RENT,40000,30
13000,B,7,MORTGAGE,40000,23
12000,B,16,RENT,90000,22
10000,B,7,MORTGAGE,50004,35
25000,B,2,OWN,180000,26
10000,B,2,RENT,35000,27
10000,C,0,OWN,35000,29
8000,D,8,MORTGAGE,80000,23
13000,A,5,MORTGAGE,108000,26
5000,C,7,RENT,63000,23
7000,B,,RENT,22776,25
8500,D,4,RENT,36000,22
6250,A,7,MORTGAGE,43000,24
12000,B,5,MORTGAGE,85000,24
8000,C,22,MORTGAGE,55000,29
1000,C,,RENT,18408,51
11600,A,1,MORTGAGE,70000,40
2000,E,21,MORTGAGE,72000,39
10000,C,1,RENT,54000,24
4000,C,6,RENT,40000,30
15000,B,,OWN,45000,28
3000,C,0,RENT,42000,23
8000,C,12,RENT,41579,25
13600,A,0,MORTGAGE,101900,24
15000,D,5,RENT,59534,31
6500,C,9,MORTGAGE,55200,22
11400,B,,MORTGAGE,58800,29
6000,A,9,RENT,155000,30
8000,A,36,MORTGAGE,30000,25
1500,C,3,MORTGAGE,54000,36
20000,B,20,RENT,90000,26
3200,A,0,MORTGAGE,75000,23
2500,C,1,RENT,36000,31
4850,C,11,RENT,23000,22
3500,A,6,RENT,26400,21
25000,B,1,RENT,100000,25
12000,B,6,MORTGAGE,95004,56
7500,C,1,RENT,36000,35
25000,F,16,MORTGAGE,113000,26
10000,A,3,MORTGAGE,73000,24
12000,A,4,RENT,32000,24
4200,B,12,RENT,29000,26
7000,A,2,RENT,22884,26
8000,A,4,RENT,50000,23
7200,C,13,OWN,75000,26
3000,A,1,RENT,49800,22
7200,A,3,RENT,68000,23
9000,A,1,RENT,35000,29
6000,E,3,RENT,65100,22
10000,B,,MORTGAGE,70000,30
21000,B,4,MORTGAGE,100800,24
1000,B,,RENT,10500,23
3500,D,24,RENT,74004,26
35000,A,7,MORTGAGE,104000,29
12000,C,6,MORTGAGE,60000,22
4200,B,2,RENT,60000,23
3500,B,3,MORTGAGE,137000,26
2200,B,8,MORTGAGE,58788,35
5000,A,15,MORTGAGE,60000,26
10750,C,12,RENT,30067.2,21
13250,D,7,RENT,35000,31
3000,B,3,RENT,31200,22
18000,D,3,RENT,71000,25
35000,B,3,RENT,82000,65
13000,B,0,RENT,170000,26
25000,B,4,MORTGAGE,75000,26
14000,D,1,RENT,71700,24
5000,B,6,RENT,24000,29
4800,B,4,MORTGAGE,36000,23
3200,B,3,RENT,84000,23
12500,C,0,RENT,38000,24
4050,A,4,RENT,14400,24
2400,A,2,RENT,66000,22
6200,B,6,OWN,58000,31
12000,A,8,RENT,62000,23
7500,B,7,MORTGAGE,50000,25
2200,A,4,MORTGAGE,50000,24
5000,D,2,MORTGAGE,24000,23
1000,B,9,MORTGAGE,36000,22
5925,B,0,RENT,40000,25
7500,B,0,RENT,45000,34
5000,B,3,RENT,34900,24
2500,A,17,MORTGAGE,70000,56
4000,A,2,RENT,30000,24
6000,B,6,MORTGAGE,59000,23
4000,B,5,MORTGAGE,65000,23
10000,A,10,MORTGAGE,45992,23
4000,C,4,RENT,32640,25
6000,E,0,RENT,54000,26
8500,C,1,MORTGAGE,130000,30
5400,A,3,MORTGAGE,36000,26
12000,A,9,MORTGAGE,52000,24
9000,B,5,MORTGAGE,120000,29
10000,B,0,RENT,40000,28
7500,A,1,OWN,90000,27
11800,B,4,RENT,35000,22
5000,A,4,RENT,39000,22
18000,C,16,MORTGAGE,98260,27
10000,E,11,RENT,96000,26
25000,B,2,RENT,52000,22
2500,D,8,RENT,41500,22
6000,D,1,MORTGAGE,35000,24
5000,A,1,RENT,30000,28
3700,B,4,RENT,35000,31
8400,A,2,RENT,68000,24
5000,C,2,OWN,38000,23
6000,A,11,MORTGAGE,114000,40
3000,A,1,RENT,67500,26
25000,D,7,MORTGAGE,101000,22
25000,E,9,MORTGAGE,85000,24
5000,B,7,RENT,42000,27
4000,E,14,RENT,108000,32
1875,A,,RENT,15204,31
17600,A,9,MORTGAGE,108928.8,27
2500,A,0,OWN,42108,29
9500,C,33,OWN,74600,28
25000,E,2,RENT,108000,25
9000,A,8,RENT,30000,26
10000,A,13,MORTGAGE,100000,30
6000,C,5,MORTGAGE,44004,28
2400,B,11,MORTGAGE,72000,31
13200,B,2,RENT,46596,25
20000,C,0,RENT,99996,24
9800,D,12,MORTGAGE,54442,24
10000,C,9,MORTGAGE,47000,22
3000,C,0,RENT,25000,32
10000,A,0,MORTGAGE,135000,28
15000,B,11,OTHER,72000,22
1800,B,0,RENT,24000,24
12000,B,1,RENT,70000,24
25000,B,14,RENT,200000,32
14000,A,25,RENT,55000,25
7800,C,18,MORTGAGE,300000,26
8000,C,1,RENT,52800,24
8250,C,6,RENT,76000,25
1700,B,12,OWN,34800,24
8500,C,40,MORTGAGE,59826,26
4000,B,9,MORTGAGE,69000,28
8000,C,3,RENT,30000,26
13000,B,2,RENT,76000,29
25000,G,1,MORTGAGE,60000,29
10000,A,18,MORTGAGE,88500,26
5500,C,2,RENT,60000,37
20000,C,4,OWN,45000,27
1200,A,1,OWN,24000,31
6000,B,0,OWN,38000,30
10000,A,6,RENT,29000,22
17500,A,3,MORTGAGE,152000,26
9450,A,2,RENT,33600,24
4400,B,7,MORTGAGE,37000,34
6250,B,2,MORTGAGE,37400,36
10000,A,5,MORTGAGE,90000,27
10000,B,1,RENT,89000,31
5000,D,4,RENT,18600,28
6000,B,2,RENT,45000,23
2500,C,4,RENT,42000,23
5000,C,8,MORTGAGE,95400,26
8000,C,5,RENT,31416,25
4200,C,0,RENT,21600,23
7200,B,1,RENT,40000,25
10750,B,11,OWN,49200,26
10000,B,7,MORTGAGE,88560,24
1400,A,8,MORTGAGE,28800,24
5200,A,0,MORTGAGE,75000,25
4550,C,4,RENT,20664,23
5000,C,7,RENT,44000,28
4800,A,,RENT,89000,26
2300,A,0,MORTGAGE,78000,24
5600,D,1,RENT,30000,21
12000,B,2,RENT,45000,44
2000,C,4,OWN,9000,23
9600,B,2,MORTGAGE,24000,28
3250,A,0,RENT,6000,29
10000,B,2,RENT,70000,22
14500,A,8,MORTGAGE,70572,23
2500,D,9,RENT,47004,26
5000,B,2,MORTGAGE,70000,33
12000,B,21,MORTGAGE,175000,34
5000,B,0,RENT,38000,29
15000,D,14,MORTGAGE,40000,22
15075,A,8,MORTGAGE,62000,22
24000,E,0,MORTGAGE,85000,28
14000,B,2,RENT,70000,25
7000,F,2,RENT,41000,22
8000,C,4,RENT,60000,22
2200,A,0,RENT,15000,25
7750,D,6,RENT,35000,23
7000,C,3,RENT,60000,45
9000,A,,MORTGAGE,66766,24
9000,C,4,RENT,45000,28
6000,B,8,MORTGAGE,82000,23
32000,E,26,MORTGAGE,68000,35
4000,C,2,RENT,43000,41
20000,D,8,MORTGAGE,85000,25
16000,C,14,MORTGAGE,89000,22
14300,C,5,RENT,30000,32
2500,B,0,RENT,22000,24
3500,B,2,OWN,25788.36,22
6000,A,0,RENT,100000,25
2000,C,1,RENT,26496,23
6000,B,7,RENT,68065.44,26
5000,B,7,RENT,99996,28
4100,A,3,MORTGAGE,147000,26
10000,C,2,RENT,70000,28
14000,D,1,RENT,40000,39
3000,A,4,RENT,50000,23
24000,G,28,MORTGAGE,119450,27
8900,B,3,RENT,116400,31
6000,A,1,RENT,51000,29
17000,B,5,MORTGAGE,63834.24,26
13000,C,3,OWN,67000,24
5500,D,2,MORTGAGE,99670,23
8000,B,1,RENT,60000,25
35000,C,11,MORTGAGE,120000,31
20000,B,0,RENT,43000,45
4500,D,2,RENT,49200,27
10500,A,19,MORTGAGE,70000,42
12000,D,4,OWN,70000,25
12000,C,2,RENT,136000,26
5600,C,12,RENT,30000,25
2500,D,0,MORTGAGE,32000,23
15000,B,0,RENT,36021.96,22
7600,C,3,RENT,45000,25
15000,C,14,RENT,60000,23
20000,C,0,MORTGAGE,96000,35
7200,B,1,RENT,65000,29
7500,B,8,MORTGAGE,45000,31
9000,C,3,RENT,47000,27
8000,C,3,MORTGAGE,42252,24
18250,E,,MORTGAGE,48000,24
4750,C,2,MORTGAGE,19200,30
5500,B,4,RENT,60000,29
20000,B,10,RENT,40000,25
7000,B,3,RENT,62500,29
10000,B,3,RENT,30000,23
23000,A,12,MORTGAGE,98000,27
8325,D,3,MORTGAGE,33000,23
30000,D,4,MORTGAGE,125000,30
8000,A,5,MORTGAGE,90000,26
11000,A,4,OWN,45000,24
14000,D,9,RENT,73000,35
2000,C,4,RENT,50004,36
10000,A,11,MORTGAGE,96060,23
14000,A,2,OWN,40000,33
5000,B,5,MORTGAGE,47000,31
8400,C,5,MORTGAGE,94000,44
14625,C,5,MORTGAGE,80000,25
2600,A,6,MORTGAGE,63000,34
1200,A,4,RENT,19200,35
11000,A,3,RENT,56000,23
6000,A,6,RENT,49000,23
24000,E,3,RENT,68250,22
18000,C,0,MORTGAGE,100000,28
5000,B,,OWN,18000,21
4800,A,0,RENT,27996,33
7000,B,1,RENT,190000,29
6500,B,7,MORTGAGE,48000,22
11200,A,3,OTHER,25000,32
4500,C,24,MORTGAGE,115200,26
1500,C,3,OWN,48000,30
5550,B,5,RENT,31000,22
10000,B,13,RENT,56253,27
4725,C,0,RENT,19800,26
24000,E,2,MORTGAGE,150000,29
8000,C,5,RENT,50000,23
3700,A,2,RENT,75000,23
6825,A,0,MORTGAGE,42000,27
21000,B,6,RENT,78000,31
10000,B,,OWN,20856,24
12000,A,1,MORTGAGE,100000,31
6000,B,14,RENT,27000,25
15000,C,1,MORTGAGE,85000,26
10000,B,17,RENT,62000,26
8000,B,0,RENT,21340,35
15000,B,13,RENT,33800,21
12000,B,2,RENT,77000,26
10800,B,1,MORTGAGE,65000,23
2000,D,1,MORTGAGE,65707,25
10000,D,21,OWN,120000,36
8000,C,10,RENT,58000,24
10000,C,1,OWN,34800,28
7000,C,20,MORTGAGE,92000,23
15600,B,7,RENT,48000,36
7000,B,2,OWN,24000,21
12000,A,3,OWN,75000,29
6000,D,2,MORTGAGE,34000,25
3500,D,2,RENT,62400,25
7000,A,13,MORTGAGE,75000,24
16000,B,11,OWN,600000,37
11500,D,5,RENT,25200,28
12000,C,20,OWN,110000,30
17500,B,3,MORTGAGE,78948,26
7000,A,1,RENT,36000,24
17500,C,8,MORTGAGE,58000,25
4000,B,1,RENT,21864,29
6400,A,2,RENT,30000,23
14400,A,0,MORTGAGE,135000,28
2500,C,4,RENT,21996,29
7000,A,3,RENT,40000,24
5000,D,6,OWN,33000,31
2500,C,11,MORTGAGE,50000,25
6000,A,7,RENT,57006,31
10500,B,0,MORTGAGE,79000,27
6725,B,,RENT,29000,37
3800,A,1,RENT,55000,23
5000,A,9,MORTGAGE,60000,27
10000,C,5,RENT,40000,26
7000,C,2,RENT,45000,43
6000,A,2,RENT,54000,29
4000,C,2,RENT,48000,24
10000,A,2,RENT,80000,22
5800,B,3,RENT,36000,27
2250,D,3,MORTGAGE,27600,30
6000,D,1,RENT,31200,21
3625,B,1,RENT,24000,26
5000,B,2,OWN,88900,26
12000,A,7,MORTGAGE,100000,34
1700,A,,MORTGAGE,37800,34
13000,A,3,MORTGAGE,37000,30
5000,A,2,RENT,14400,23
9000,A,,MORTGAGE,200000,31
11000,C,3,MORTGAGE,75000,23
25000,F,10,RENT,114000,37
20000,C,0,RENT,54912,24
25000,A,5,MORTGAGE,90111,30
10000,A,5,RENT,100000,24
7200,A,3,OWN,62000,39
15000,F,15,RENT,67000,28
4500,C,0,RENT,18204,25
10000,A,4,MORTGAGE,50000,29
11000,B,2,OWN,45843.2,23
9000,C,0,MORTGAGE,55000,32
10500,A,5,RENT,40500,21
20000,B,3,MORTGAGE,60000,26
20000,B,18,MORTGAGE,80000,37
7500,B,9,RENT,40000,23
11200,C,6,RENT,63800,22
10000,A,3,MORTGAGE,75000,55
6400,A,8,MORTGAGE,100000,33
8400,A,1,RENT,36000,23
15000,D,12,MORTGAGE,73700,23
3000,D,2,RENT,46750,30
25000,B,7,MORTGAGE,80000,31
10000,C,11,OWN,65000,23
7500,B,8,MORTGAGE,85000,27
2400,E,15,MORTGAGE,41760,21
9000,D,0,RENT,60000,43
15000,A,5,MORTGAGE,40000,24
5000,B,11,RENT,100000,27
7000,A,0,RENT,43000,41
9750,D,4,RENT,21600,28
25000,D,15,MORTGAGE,81000,22
14000,A,7,MORTGAGE,98000,26
5000,D,2,RENT,30000,21
16000,D,2,RENT,95000,31
5000,A,4,OWN,60000,24
6800,C,5,MORTGAGE,60635,22
7500,A,1,MORTGAGE,31200,27
6000,D,4,RENT,38000,37
10000,C,2,RENT,65000,25
10000,A,,MORTGAGE,57600,23
25000,B,0,MORTGAGE,145000,29
30000,B,7,MORTGAGE,110000,41
14300,B,3,OWN,44390,23
2000,C,10,MORTGAGE,33000,21
2000,A,16,OWN,51996,35
7000,C,2,RENT,57996,48
16500,A,2,RENT,63504,25
6000,B,1,RENT,43000,29
8500,C,,RENT,27050,28
7000,A,0,RENT,15090,22
5000,A,,RENT,15000,31
15000,C,1,MORTGAGE,124800,28
9500,F,0,RENT,23040,24
2400,B,5,OWN,48000,23
1000,D,2,RENT,16000,21
5000,A,1,MORTGAGE,52500,23
8000,D,18,RENT,25000,33
14800,D,8,MORTGAGE,60000,29
3000,C,26,MORTGAGE,80000,42
4000,D,3,MORTGAGE,60000,23
2400,C,6,MORTGAGE,30000,23
10800,B,2,RENT,39996,26
15000,D,8,RENT,54996,28
6800,C,3,MORTGAGE,65000,24
6000,B,0,RENT,19200,24
11200,B,13,MORTGAGE,132000,26
14000,C,4,RENT,110000,24
12000,A,3,RENT,60000,23
12000,D,0,RENT,90000,25
3000,A,0,RENT,50000,26
12000,B,12,RENT,70000,24
12800,B,2,RENT,60000,23
3600,B,6,RENT,45000,27
12000,C,1,MORTGAGE,25000,26
6400,A,0,RENT,32000,43
9600,C,4,OWN,85000,23
4800,D,17,RENT,35000,32
2500,D,4,MORTGAGE,444000,41
12000,A,4,RENT,43000,29
4500,A,23,MORTGAGE,72000,28
3600,D,3,MORTGAGE,43000,23
12000,B,1,RENT,39000,23
3600,A,3,RENT,82300,28
4800,A,10,OWN,48000,22
20000,C,2,RENT,80000,26
10000,A,3,RENT,65520,26
5500,B,1,RENT,54000,55
16000,B,23,MORTGAGE,80000,22
7100,C,1,RENT,33000,25
3675,B,0,MORTGAGE,45000,28
18000,E,3,RENT,45000,25
7000,A,0,MORTGAGE,100000,23
13000,B,2,MORTGAGE,37000,33
6000,C,0,MORTGAGE,57600,30
9000,A,7,MORTGAGE,48800,24
1750,D,2,OWN,15000,25
12000,B,3,MORTGAGE,100000,22
7000,A,2,MORTGAGE,54000,23
12000,B,9,RENT,55200,37
6600,C,3,RENT,70000,23
7875,B,4,MORTGAGE,55680,24
3600,C,5,MORTGAGE,207000,29
5000,B,,RENT,17220,21
10000,C,2,RENT,130000,27
8500,B,0,RENT,25000,24
4000,C,4,RENT,36000,31
2250,A,8,MORTGAGE,54000,25
5600,C,5,RENT,34444,29
5600,B,0,RENT,12000,29
10000,B,6,MORTGAGE,86000,22
12000,B,3,MORTGAGE,100000,22
19200,D,3,RENT,55000,23
7200,A,9,MORTGAGE,69000,24
8800,B,17,MORTGAGE,125000,33
6500,C,16,MORTGAGE,91200,24
6000,A,0,MORTGAGE,116700,22
4200,A,7,MORTGAGE,63000,36
6500,A,12,MORTGAGE,64800,27
2800,A,3,RENT,27000,22
5000,B,7,RENT,47496,25
4950,B,,RENT,13296,25
8500,B,19,MORTGAGE,46500,24
3000,B,0,MORTGAGE,25000,22
3000,C,20,MORTGAGE,58000,27
6775,A,15,RENT,75000,25
11200,C,7,RENT,52800,30
5300,A,12,MORTGAGE,30929.6,33
30000,A,6,RENT,105000,29
6000,C,2,MORTGAGE,60000,26
25000,F,15,MORTGAGE,123000,28
1200,C,16,MORTGAGE,54996,30
3000,B,4,RENT,43200,51
20000,E,14,MORTGAGE,200000,26
11000,E,4,RENT,82500,28
4100,C,0,RENT,20000,23
11000,B,1,MORTGAGE,29232,24
12000,C,7,MORTGAGE,48996,22
14400,D,5,RENT,51871,24
16000,B,2,RENT,75000,24
12000,A,5,OWN,60000,40
18000,D,0,MORTGAGE,62000,23
15000,A,5,MORTGAGE,55000,33
14125,B,19,RENT,34800,33
10400,A,,RENT,20688,29
5000,A,3,RENT,40000,39
10000,B,7,RENT,45600,24
9100,B,6,MORTGAGE,66000,35
10000,D,4,MORTGAGE,71028,36
15000,C,1,OWN,40000,21
10000,D,2,RENT,108000,26
6000,B,1,MORTGAGE,24000,26
5500,D,0,RENT,30000,31
3000,A,8,OWN,58000,34
7000,C,2,MORTGAGE,51600,22
6500,A,3,RENT,42500,31
16000,D,3,RENT,70000,20
3500,B,2,MORTGAGE,94896,33
14000,B,19,MORTGAGE,90000,26
1000,B,1,MORTGAGE,25000,34
4750,C,7,MORTGAGE,85000,32
4750,A,6,MORTGAGE,40000,22
8000,A,12,RENT,36996,22
7000,B,4,RENT,30000,29
3000,A,1,RENT,43500,24
6000,B,10,MORTGAGE,92000,31
12000,A,11,MORTGAGE,135000,24
4500,A,6,MORTGAGE,120000,33
4500,B,4,MORTGAGE,147884.76,27
4350,C,1,RENT,90000,35
7400,C,,RENT,49995,24
21500,A,0,RENT,82000,30
10000,B,19,OWN,186000,25
4000,C,12,RENT,65499,25
10000,C,,RENT,24000,21
20000,C,1,OTHER,55000,24
6000,B,4,MORTGAGE,126000,26
12000,E,3,RENT,50000,24
6400,A,3,MORTGAGE,36000,24
3000,C,19,RENT,78000,30
10000,E,0,RENT,30000,24
5000,A,24,RENT,108000,23
7125,B,2,MORTGAGE,60000,32
11750,A,9,MORTGAGE,49000,30
20000,A,6,OWN,85000,27
1950,B,6,RENT,90000,36
4800,C,29,MORTGAGE,75000,25
14000,C,4,RENT,32500,24
20000,B,31,MORTGAGE,210000,33
25475,B,0,RENT,60000,22
8000,B,5,RENT,65000,24
5000,A,0,RENT,28140,29
10000,C,2,RENT,45000,35
10000,C,6,MORTGAGE,60000,27
6000,B,10,RENT,30000,28
3600,A,9,MORTGAGE,59000,23
25000,D,2,RENT,52000,26
10000,A,3,RENT,30000,23
9250,B,1,RENT,40000,35
5000,A,7,MORTGAGE,60000,29
6125,A,25,RENT,120000,32
6000,D,5,MORTGAGE,50000,40
15000,C,14,OWN,60000,28
5375,B,2,RENT,15360,28
20000,C,6,MORTGAGE,184000,24
5000,B,17,MORTGAGE,78000,27
14000,B,2,RENT,54000,25
9600,A,10,RENT,55000,25
2400,D,1,RENT,21600,22
6500,D,4,RENT,42500,34
1500,C,7,MORTGAGE,30000,29
9350,A,5,MORTGAGE,48500,30
9500,A,2,RENT,36000,34
4000,A,5,RENT,41000,37
21000,A,9,MORTGAGE,85000,35
3900,A,,MORTGAGE,20112,36
15000,B,0,MORTGAGE,55000,27
4000,A,1,RENT,13200,24
5000,D,2,RENT,107028,35
8000,C,8,MORTGAGE,74400,27
3000,B,1,OWN,27600,31
3600,B,0,MORTGAGE,26400,34
12800,A,6,MORTGAGE,56000,25
7700,A,7,RENT,65000,56
5000,D,6,RENT,38000,32
5000,A,0,RENT,18000,23
3000,A,7,OWN,41235,35
3500,A,7,MORTGAGE,61440,35
10000,A,3,MORTGAGE,72000,26
8000,E,3,RENT,30000,24
10000,A,9,MORTGAGE,43700,23
10000,A,2,MORTGAGE,43200,60
15000,D,17,RENT,42000,27
4400,B,12,OWN,42000,23
8500,C,0,RENT,25000,25
5000,A,0,RENT,31404,22
15000,A,1,RENT,35000,29
15000,E,19,RENT,38000,25
7600,A,9,RENT,18000,28
8500,C,0,MORTGAGE,43000,24
12000,A,0,MORTGAGE,36000,36
