MEMBERSHIP_NUMBER,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,MEMBERSHIP_STATUS,START_DATE (YYYYMMDD),END_DATE  (YYYYMMDD)
A01149,17,100000,S,M,549996,1,TYPE-B,26,0,SEMI-ANNUAL,225699,CANCELLED,20081231,20100827
A01150,22,100000,M,M,399996,1,TYPE-B,51,2,ANNUAL,6833,INFORCE,20090106,
A01151,17,100000,,,,1,TYPE-B,44,0,ANNUAL,225699,CANCELLED,20081230,20110226
A01152,42,190001.52,M,M,500004,1,TYPE-B,42,3,MONTHLY,260600,INFORCE,20081230,
A01153,22,100000,M,M,399996,1,TYPE-B,30,3,ANNUAL,549755,INFORCE,20081230,
A01154,12,100000.8,S,M,480000,1,TYPE-B,26,0,MONTHLY,535466,INFORCE,20081231,
A01155,12,199999,M,M,600000,1,TYPE-B,33,2,ANNUAL,96355,INFORCE,20081231,
A01156,30,150000,M,M,600000,1,TYPE-B,54,3,ANNUAL,347977,INFORCE,20081230,
A01157,12,375000,M,M,1350000,1,TYPE-B,48,1,ANNUAL,42211,INFORCE,20090109,
A01158,17,100000,M,M,600000,1,TYPE-B,44,3,SEMI-ANNUAL,134677,CANCELLED,20090119,20090917
A01159,22,100000.8,M,M,999996,1,TYPE-B,35,1,MONTHLY,296355,CANCELLED,20081231,20091027
A01160,17,100000,M,M,399996,1,TYPE-B,30,2,ANNUAL,225800,INFORCE,20081230,
A01161,12,100000,M,M,324996,5,TYPE-B,41,2,ANNUAL,174422,INFORCE,20081231,
A01162,12,100800,M,M,492000,5,TYPE-B,42,2,MONTHLY,253455,CANCELLED,20090109,20090508
A01163,12,100000,M,M,300000,1,TYPE-B,43,3,ANNUAL,499555,CANCELLED,20081231,20110226
A01164,36,100000,M,M,350004,1,TYPE-B,48,3,SEMI-ANNUAL,124355,CANCELLED,20081231,20090827
A01165,12,100000,M,M,300000,1,TYPE-B,46,3,ANNUAL,575177,INFORCE,20081231,
A01166,9,101250,M,M,294996,1,TYPE-B,23,3,ANNUAL,425166,CANCELLED,20081231,20100226
A01167,12,120000.96,S,F,180000,1,TYPE-B,25,0,MONTHLY,576200,CANCELLED,20090113,20090512
A01168,23,100000,M,M,6624000,1,TYPE-B,61,3,ANNUAL,449966,INFORCE,20081231,
A01169,31,800000,M,M,200004,1,TYPE-B,53,1,SEMI-ANNUAL,15922,INFORCE,20081231,
A01170,22,1000008,M,M,1200000,1,TYPE-B,46,2,MONTHLY,409622,INFORCE,20090109,
A01171,22,102495,M,M,330000,1,TYPE-B,43,2,SEMI-ANNUAL,451933,INFORCE,20090115,
A01172,9,100000,S,M,339996,1,TYPE-B,22,0,ANNUAL,425166,INFORCE,20081231,
A01173,17,100000,,,,1,TYPE-B,58,0,ANNUAL,394166,INFORCE,20081231,
A01174,27,199900,M,F,,4,TYPE-B,57,3,SEMI-ANNUAL,156544,CANCELLED,20081231,20110226
A01175,57,192001.56,S,M,300000,1,TYPE-B,25,0,MONTHLY,343411,CANCELLED,20081231,20090429
A01176,12,999000,M,M,9600000,1,TYPE-B,44,2,ANNUAL,161688,CANCELLED,20090106,20100307
A01177,17,100000,M,M,249996,1,TYPE-B,57,2,ANNUAL,350966,INFORCE,20090109,
A01178,31,140000,W,F,249996,1,TYPE-B,54,0,ANNUAL,147855,INFORCE,20090102,
A01179,16,180001.44,,,,1,TYPE-B,78,3,MONTHLY,343466,CANCELLED,20090106,20100201
A01180,53,168001.32,S,M,120000,1,TYPE-B,30,0,MONTHLY,15922,INFORCE,20090105,
A01181,17,100000,M,M,150000,5,TYPE-B,36,2,ANNUAL,358599,INFORCE,20090109,
A01182,9,150001.2,S,F,600000,1,TYPE-B,27,0,MONTHLY,260655,CANCELLED,20090102,20090501
A01183,54,100000.8,S,M,260004,1,TYPE-B,29,0,MONTHLY,296355,CANCELLED,20090102,20090501
A01184,17,100000,,,,1,TYPE-B,49,1,ANNUAL,195911,CANCELLED,20090105,20100306
A01185,17,100000.8,S,M,249996,1,TYPE-B,25,0,MONTHLY,219466,CANCELLED,20090102,20090501
A01186,17,100000.8,S,M,999996,1,TYPE-B,33,0,MONTHLY,219466,CANCELLED,20090107,20090506
A01187,29,100000,M,F,474996,1,TYPE-B,55,1,SEMI-ANNUAL,476666,INFORCE,20090102,
A01188,12,100000,M,F,399996,1,TYPE-B,33,2,ANNUAL,519133,INFORCE,20090105,
A01189,9,150001.2,S,M,500004,1,TYPE-B,23,0,MONTHLY,262811,CANCELLED,20090105,20090502
A01190,22,100000,S,M,399996,1,TYPE-B,26,0,SEMI-ANNUAL,499633,CANCELLED,20090106,20100307
A01191,12,100000,M,F,450000,1,TYPE-B,56,1,ANNUAL,423944,CANCELLED,20090130,20100329
A01192,36,100000,M,M,200004,1,TYPE-B,49,1,ANNUAL,118155,INFORCE,20090105,
A01193,32,100000,M,M,174996,1,TYPE-B,53,2,ANNUAL,587233,CANCELLED,20090106,20100307
A01194,59,100000,S,M,399996,1,TYPE-B,24,0,ANNUAL,295888,INFORCE,20090106,
A01195,22,100000,M,F,,4,TYPE-B,63,2,ANNUAL,367800,INFORCE,20090107,
A01196,29,100000,M,M,500004,1,TYPE-B,56,2,ANNUAL,280411,INFORCE,20090107,
A01197,24,200000,M,F,,6,TYPE-B,61,1,ANNUAL,343344,INFORCE,20090109,
A01198,55,100000.8,S,M,260004,1,TYPE-B,28,0,MONTHLY,296355,CANCELLED,20090107,20090506
A01199,57,400000,S,M,999996,1,TYPE-B,26,0,SEMI-ANNUAL,343344,INFORCE,20090107,
A01200,17,100000.8,M,M,249996,1,TYPE-B,30,3,MONTHLY,410822,INFORCE,20090109,
A01201,22,101450,M,M,500004,1,TYPE-B,27,1,SEMI-ANNUAL,295211,INFORCE,20090122,
A01202,22,100875,S,M,500004,1,TYPE-B,24,0,SEMI-ANNUAL,295211,INFORCE,20090116,
A01203,38,120000.96,M,M,450000,1,TYPE-B,47,1,MONTHLY,570866,INFORCE,20090112,
A01204,12,100000,M,F,272004,1,TYPE-B,38,2,ANNUAL,123344,INFORCE,20090112,
A01205,9,100000,M,M,399996,1,TYPE-B,28,2,ANNUAL,589355,CANCELLED,20090112,20100311
A01206,43,100000,M,F,200004,1,TYPE-B,42,2,ANNUAL,360811,INFORCE,20090112,
A01207,9,100000,M,M,489996,1,TYPE-B,37,2,ANNUAL,193333,INFORCE,20090114,
A01208,22,100000,S,F,3000000,1,TYPE-B,46,0,ANNUAL,314544,INFORCE,20090127,
A01209,43,100000,M,M,1200000,1,TYPE-B,42,1,ANNUAL,577311,INFORCE,20090113,
A01210,19,100000,M,M,275004,1,TYPE-B,27,3,ANNUAL,381166,INFORCE,20090114,
A01211,12,100000,M,M,500004,1,TYPE-B,27,1,SEMI-ANNUAL,568144,INFORCE,20090114,
A01212,19,100000,,,,1,TYPE-B,37,3,ANNUAL,475455,INFORCE,20090115,
A01213,17,100000,M,F,300000,1,TYPE-B,36,1,SEMI-ANNUAL,429344,INFORCE,20090115,
A01214,12,100000,M,M,300000,1,TYPE-B,59,1,SEMI-ANNUAL,172322,INFORCE,20090203,
A01215,20,100000,M,M,300000,1,TYPE-B,65,2,ANNUAL,569866,CANCELLED,20090130,20100329
A01216,17,100000,M,F,420000,1,TYPE-B,35,3,ANNUAL,457311,INFORCE,20090115,
A01217,9,119999.88,M,M,324996,1,TYPE-B,29,3,MONTHLY,472955,CANCELLED,20090120,20090519
A01218,17,100000,M,M,300000,1,TYPE-B,30,1,SEMI-ANNUAL,594288,INFORCE,20090119,
A01219,12,100000,M,M,279996,1,TYPE-B,56,1,ANNUAL,135699,INFORCE,20090209,
A01220,42,150001.2,M,F,349992,1,TYPE-B,43,1,MONTHLY,595899,CANCELLED,20090119,20090915
A01221,17,100000,S,M,500004,1,TYPE-B,24,0,ANNUAL,588622,INFORCE,20090120,
A01222,12,121199.88,M,M,699996,5,TYPE-B,45,3,MONTHLY,459799,INFORCE,20090123,
A01223,17,100000,M,M,500004,1,TYPE-B,27,2,ANNUAL,599344,INFORCE,20090120,
A01224,12,100000,M,M,2000004,5,TYPE-B,40,2,ANNUAL,575177,INFORCE,20090121,
A01225,9,120011.88,S,F,300000,1,TYPE-B,27,0,MONTHLY,259355,CANCELLED,20090121,20090520
A01226,17,100000,M,M,999996,1,TYPE-B,30,1,ANNUAL,295888,INFORCE,20090120,
A01227,12,175000,M,M,999996,1,TYPE-B,29,3,ANNUAL,295888,INFORCE,20090130,
A01228,17,100000,,,,1,TYPE-B,71,0,ANNUAL,122299,INFORCE,20090120,
A01229,17,100000,M,M,399996,1,TYPE-B,33,3,ANNUAL,256488,INFORCE,20090120,
A01230,17,100000,M,M,399996,1,TYPE-B,35,1,ANNUAL,256488,CANCELLED,20090120,20100321
A01231,17,100000,M,M,300000,1,TYPE-B,27,3,ANNUAL,256488,INFORCE,20090120,
A01232,9,100000,M,M,300000,5,TYPE-B,56,1,ANNUAL,426166,INFORCE,20090128,
A01233,9,100000,M,M,300000,5,TYPE-B,42,1,ANNUAL,63811,INFORCE,20090122,
A01234,12,100000,S,F,180000,1,TYPE-B,24,0,ANNUAL,533266,INFORCE,20090203,
A01235,12,100000,M,M,249996,5,TYPE-B,44,2,SEMI-ANNUAL,91844,INFORCE,20090127,
A01236,54,250000,M,M,270000,1,TYPE-B,29,3,SEMI-ANNUAL,459411,INFORCE,20090122,
A01237,12,100000,M,M,450000,1,TYPE-B,26,3,ANNUAL,529677,INFORCE,20090123,
A01238,25,100000,M,F,500004,1,TYPE-B,60,1,ANNUAL,472055,INFORCE,20090123,
A01239,55,120000.96,S,M,450000,1,TYPE-B,28,0,MONTHLY,347777,INFORCE,20090123,
A01240,21,120000.96,M,M,600000,1,TYPE-B,64,3,MONTHLY,587855,INFORCE,20090123,
A01241,12,100000.8,M,M,399996,1,TYPE-B,34,2,MONTHLY,376455,INFORCE,20090127,
A01242,17,100000.8,S,M,360000,1,TYPE-B,30,0,MONTHLY,460377,INFORCE,20090127,
A01243,13,350000,M,F,999996,1,TYPE-B,72,1,ANNUAL,343344,INFORCE,20090127,
A01244,12,120000.96,S,M,300000,1,TYPE-B,26,0,MONTHLY,314166,INFORCE,20090129,
A01245,9,100000,M,M,350004,1,TYPE-B,47,3,SEMI-ANNUAL,561888,CANCELLED,20090128,20090926
A01246,22,100000,M,M,780696,1,TYPE-B,36,1,SEMI-ANNUAL,420544,CANCELLED,20090129,20090926
A01247,12,100000,W,F,,6,TYPE-B,63,0,SEMI-ANNUAL,327388,CANCELLED,20090130,20100926
A01248,12,100000,S,M,450000,1,TYPE-B,36,0,ANNUAL,6244,INFORCE,20090128,
A01249,12,100000,M,M,999996,1,TYPE-B,46,3,ANNUAL,375877,INFORCE,20090128,
A01250,53,100000,M,M,150000,1,TYPE-B,30,3,SEMI-ANNUAL,264955,INFORCE,20090130,
A01251,12,100000.8,M,M,375000,1,TYPE-B,29,1,MONTHLY,137777,CANCELLED,20090129,20090527
A01252,23,500000,M,M,2300004,1,TYPE-B,62,2,ANNUAL,471944,INFORCE,20090129,
A01253,12,100000,M,F,500004,1,TYPE-B,25,1,ANNUAL,415255,INFORCE,20090129,
A01254,9,100000.8,M,M,300000,1,TYPE-B,43,1,MONTHLY,131988,CANCELLED,20090130,20090727
A01255,12,120000.96,M,M,260004,1,TYPE-B,43,1,MONTHLY,238888,CANCELLED,20090130,20090527
A01256,12,144001.08,M,M,300000,1,TYPE-B,36,3,MONTHLY,230899,CANCELLED,20090130,20090527
A01257,27,100000,M,M,300000,1,TYPE-B,58,2,ANNUAL,522633,INFORCE,20090129,
A01258,12,100000,,,,1,TYPE-B,23,3,SEMI-ANNUAL,544200,INFORCE,20090130,
A01259,40,1500000,M,F,15500004,1,TYPE-B,45,3,ANNUAL,605088,INFORCE,20090129,
A01260,58,600004.8,M,F,999996,1,TYPE-B,25,3,MONTHLY,343411,INFORCE,20090129,
A01261,27,100000,S,M,699996,1,TYPE-B,27,0,ANNUAL,47399,CANCELLED,20090210,20100411
A01262,17,300002.4,M,M,2400000,1,TYPE-B,67,2,MONTHLY,343344,INFORCE,20090205,
A01263,17,100000,M,M,500004,1,TYPE-B,45,1,SEMI-ANNUAL,262877,INFORCE,20090202,
A01264,37,100000,M,M,300000,1,TYPE-B,48,3,SEMI-ANNUAL,508211,INFORCE,20090203,
A01265,31,144001.2,M,M,600000,1,TYPE-B,54,3,MONTHLY,128122,CANCELLED,20090130,20100926
A01266,58,600000,M,F,1500000,1,TYPE-B,25,1,MONTHLY,343411,INFORCE,20090130,
A01267,22,100000,M,M,500004,1,TYPE-B,36,1,ANNUAL,12833,CANCELLED,20090209,20100410
A01268,21,200000,M,F,,6,TYPE-B,64,3,SEMI-ANNUAL,343344,INFORCE,20090130,
A01269,22,100000,M,F,350004,1,TYPE-B,39,3,ANNUAL,552599,INFORCE,20090226,
A01270,55,100000.8,M,M,450000,1,TYPE-B,28,1,MONTHLY,573388,INFORCE,20090202,
A01271,48,200000,M,F,699996,1,TYPE-B,37,3,ANNUAL,302644,INFORCE,20090203,
A01272,22,200000,M,M,9120000,1,TYPE-B,41,2,ANNUAL,17511,INFORCE,20090212,
A01273,17,100000,M,F,300000,1,TYPE-B,33,2,ANNUAL,387788,CANCELLED,20090209,20100410
A01274,16,100000,M,M,249996,1,TYPE-B,59,2,ANNUAL,531388,CANCELLED,20090209,20100410
A01275,17,100000,M,M,320004,5,TYPE-B,38,2,ANNUAL,161133,CANCELLED,20090211,20100412
A01276,12,119999.88,M,M,320004,1,TYPE-B,29,2,MONTHLY,508611,INFORCE,20090206,
A01277,31,1008008.04,M,M,1500000,1,TYPE-B,54,1,MONTHLY,343411,INFORCE,20090206,
A01278,44,100000.8,M,M,336000,1,TYPE-B,40,1,MONTHLY,301711,CANCELLED,20090206,20090606
A01279,19,150000,S,M,425004,1,TYPE-B,30,0,SEMI-ANNUAL,232788,INFORCE,20090227,
A01280,12,101250,M,M,300000,1,TYPE-B,48,2,ANNUAL,594622,INFORCE,20090218,
A01281,22,102000,M,M,20000004,1,TYPE-B,41,1,MONTHLY,614299,CANCELLED,20090213,20090612
A01282,22,500000,S,M,999996,1,TYPE-B,63,0,SEMI-ANNUAL,343344,CANCELLED,20090209,20101008
A01283,46,100000,M,M,200004,1,TYPE-B,39,3,SEMI-ANNUAL,250599,INFORCE,20090211,
A01284,25,100005,M,M,399996,1,TYPE-B,50,3,ANNUAL,469488,CANCELLED,20090219,20100420
A01285,44,5250042,M,M,3000000,1,TYPE-B,41,2,MONTHLY,605133,CANCELLED,20090213,20090609
A01286,44,5250042,M,M,3000000,1,TYPE-B,41,1,MONTHLY,602577,CANCELLED,20090213,20090609
A01287,58,600004.8,M,F,1500000,1,TYPE-B,25,1,MONTHLY,343411,CANCELLED,20090210,20090609
A01288,56,100000,S,M,650004,1,TYPE-B,27,0,ANNUAL,343344,INFORCE,20090211,
A01289,12,180001.44,,,,1,TYPE-B,49,0,MONTHLY,466100,INFORCE,20090216,
A01290,31,1008008.04,M,M,1500000,1,TYPE-B,54,1,MONTHLY,343411,CANCELLED,20090212,20090610
A01291,12,100000.8,M,M,1500000,1,TYPE-B,54,3,MONTHLY,586666,INFORCE,20090227,
A01292,17,100004,M,M,549996,1,TYPE-B,37,2,QUARTERLY,13722,INFORCE,20090213,
A01293,9,100000,M,M,450000,5,TYPE-B,47,1,ANNUAL,150399,INFORCE,20090217,
A01294,9,120000.96,M,F,249996,1,TYPE-B,25,3,MONTHLY,259355,INFORCE,20090313,
A01295,12,100000,M,M,949992,1,TYPE-B,45,1,ANNUAL,579400,CANCELLED,20090213,20110414
A01296,22,100000,M,M,500004,1,TYPE-B,34,3,SEMI-ANNUAL,253599,CANCELLED,20090216,20091015
A01297,22,300000,M,F,171348,1,TYPE-B,35,2,SEMI-ANNUAL,580366,CANCELLED,20090227,20091027
A01298,19,100000,W,F,249996,1,TYPE-B,66,0,SEMI-ANNUAL,428244,INFORCE,20090213,
A01299,12,126001.2,M,F,300000,1,TYPE-B,47,1,MONTHLY,422900,INFORCE,20090216,
A01300,12,119999.88,M,M,800004,1,TYPE-B,46,3,MONTHLY,621200,CANCELLED,20090216,20090615
A01301,17,103550.54,M,F,500004,1,TYPE-A,42,3,ANNUAL,195544,INFORCE,20090218,
A01302,12,119999.88,M,M,320004,1,TYPE-B,29,1,MONTHLY,508611,INFORCE,20090217,
A01303,22,124999.98,M,M,738000,5,TYPE-B,46,3,ANNUAL,161155,INFORCE,20090225,
A01304,22,125000,M,F,,4,TYPE-B,63,2,ANNUAL,348355,INFORCE,20090217,
A01305,17,100000,,,,1,TYPE-B,66,2,SEMI-ANNUAL,183622,INFORCE,20090305,
A01306,17,100000,M,M,500004,1,TYPE-B,57,1,ANNUAL,169100,INFORCE,20090227,
A01307,49,400000,M,F,1500000,1,TYPE-B,36,1,ANNUAL,584622,INFORCE,20090217,
A01308,22,100000,M,M,450000,1,TYPE-B,39,1,ANNUAL,12833,CANCELLED,20090227,20100428
A01309,12,100000,M,M,650004,1,TYPE-B,40,1,ANNUAL,546644,INFORCE,20090218,
A01310,13,200000,S,F,,4,TYPE-B,72,0,ANNUAL,343344,CANCELLED,20090218,20100419
A01311,9,100000.8,S,M,300000,1,TYPE-B,29,0,MONTHLY,688,INFORCE,20090220,
A01312,31,1008008.04,M,M,2199996,1,TYPE-B,54,1,MONTHLY,343411,INFORCE,20090219,
A01313,52,100000.8,M,F,300000,1,TYPE-B,33,2,MONTHLY,609455,CANCELLED,20090220,20090619
A01314,24,100000.13,M,M,399996,5,TYPE-B,51,1,ANNUAL,305933,CANCELLED,20090316,20100515
A01315,17,100000,,,,6,TYPE-B,74,0,ANNUAL,20188,INFORCE,20090220,
A01316,22,119999.88,D,F,540000,1,TYPE-B,37,0,MONTHLY,98011,CANCELLED,20090227,20090627
A01317,18,200000,W,F,2000004,NA,TYPE-B,67,0,ANNUAL,419444,INFORCE,20090224,
A01318,9,100000,W,F,2258004,1,TYPE-B,50,0,ANNUAL,596255,INFORCE,20090302,
A01319,9,100000,W,F,2258004,1,TYPE-B,50,0,ANNUAL,596255,INFORCE,20090302,
A01320,52,100000.8,M,M,450000,1,TYPE-B,33,3,MONTHLY,143988,INFORCE,20090224,
A01321,44,600004.8,M,M,3000000,1,TYPE-B,41,2,MONTHLY,620077,INFORCE,20090224,
A01322,44,600004.8,M,M,3000000,1,TYPE-B,41,3,MONTHLY,597455,INFORCE,20090224,
A01323,44,720005.76,M,M,3000000,1,TYPE-B,41,3,MONTHLY,594288,INFORCE,20090224,
A01324,9,180001.44,S,M,399996,1,TYPE-B,20,0,MONTHLY,434755,CANCELLED,20090227,20100827
A01325,44,600004.8,M,M,3000000,1,TYPE-B,41,2,MONTHLY,269055,INFORCE,20090224,
A01326,12,100000,M,M,350004,1,TYPE-B,22,1,SEMI-ANNUAL,494877,CANCELLED,20090224,20100424
A01327,15,100000,M,M,,6,TYPE-B,70,1,ANNUAL,600033,INFORCE,20090225,
A01328,22,100000.8,M,M,150000,1,TYPE-B,51,3,MONTHLY,369099,INFORCE,20090227,
A01329,27,150000,S,M,80004,5,TYPE-B,24,0,ANNUAL,544588,CANCELLED,20090323,20100522
A01330,12,100000,M,F,500004,5,TYPE-B,37,2,ANNUAL,498599,INFORCE,20090224,
A01331,64,120000.96,,,,1,TYPE-B,60,0,MONTHLY,343344,INFORCE,20090224,
A01332,30,100000,M,F,474996,1,TYPE-B,54,1,SEMI-ANNUAL,476666,INFORCE,20090225,
A01333,9,101416,M,F,450000,1,TYPE-B,43,2,SEMI-ANNUAL,190233,INFORCE,20090302,
A01334,17,100004,M,M,549996,1,TYPE-B,37,2,QUARTERLY,13722,CANCELLED,20090226,20090725
A01335,45,100000,M,F,174996,1,TYPE-B,40,3,ANNUAL,343344,INFORCE,20090225,
A01336,17,100000,M,M,600000,1,TYPE-B,30,1,ANNUAL,287233,CANCELLED,20090227,20100427
A01337,44,600004.8,M,M,3000000,1,TYPE-B,41,2,MONTHLY,630377,INFORCE,20090226,
A01338,17,120000,M,M,649992,1,TYPE-B,54,3,SEMI-ANNUAL,608199,INFORCE,20090305,
A01339,12,300000,M,M,4500000,1,TYPE-B,51,1,ANNUAL,537877,INFORCE,20090316,
A01340,9,100000,,,,1,TYPE-B,50,0,ANNUAL,631200,INFORCE,20090227,
A01341,9,100000.8,M,F,324996,1,TYPE-B,29,2,MONTHLY,24544,INFORCE,20090227,
A01342,50,100000,M,M,499992,1,TYPE-B,35,3,ANNUAL,475477,INFORCE,20090227,
A01343,9,100000,,,,1,TYPE-B,43,3,ANNUAL,91811,CANCELLED,20090227,20100428
A01344,12,100000,M,M,560004,1,TYPE-B,63,2,QUARTERLY,343477,INFORCE,20090317,
A01345,60,100000,S,F,200004,1,TYPE-B,23,0,ANNUAL,590799,INFORCE,20090227,
A01346,38,600004.8,,,,1,TYPE-B,54,2,MONTHLY,343411,CANCELLED,20090227,20090626
A01347,49,250000,,,,1,TYPE-B,74,3,QUARTERLY,397477,INFORCE,20090227,
A01348,22,100000,M,M,210000,1,TYPE-B,30,1,ANNUAL,495799,INFORCE,20090316,
A01349,12,100000,M,F,,6,TYPE-B,60,3,ANNUAL,63800,INFORCE,20090302,
A01350,56,123600.96,S,M,214992,1,TYPE-B,27,0,MONTHLY,308677,CANCELLED,20090227,20090627
A01351,17,100000,S,M,300000,1,TYPE-B,22,0,QUARTERLY,13722,CANCELLED,20090227,20090727
A01352,37,199980,M,F,800004,1,TYPE-B,48,2,ANNUAL,579400,CANCELLED,20090227,20100429
A01353,52,250002,M,M,450000,1,TYPE-B,33,3,MONTHLY,567622,CANCELLED,20090227,20090627
A01354,22,100000,M,M,180000,1,TYPE-B,63,1,SEMI-ANNUAL,306433,INFORCE,20090302,
A01355,22,100000,M,M,1500000,1,TYPE-B,62,1,SEMI-ANNUAL,302533,CANCELLED,20090227,20100429
A01356,44,100000,M,M,1700004,1,TYPE-B,29,1,ANNUAL,540966,INFORCE,20090413,
A01357,34,200000,,,,6,TYPE-B,83,2,ANNUAL,343344,INFORCE,20090302,
A01358,17,100000,S,M,300000,1,TYPE-B,27,0,ANNUAL,603777,INFORCE,20090227,
A01359,42,120000.96,M,M,2499996,1,TYPE-B,42,2,MONTHLY,132888,INFORCE,20090227,
A01360,17,100000,W,F,500004,1,TYPE-B,52,0,SEMI-ANNUAL,446733,INFORCE,20090330,
A01361,9,100000,M,M,600000,1,TYPE-B,43,2,SEMI-ANNUAL,243788,INFORCE,20090302,
A01362,41,120000,M,M,999996,1,TYPE-B,44,3,SEMI-ANNUAL,128122,INFORCE,20090302,
A01363,22,100000,M,M,350004,1,TYPE-B,25,3,SEMI-ANNUAL,181033,CANCELLED,20090313,20110512
A01364,22,100000,S,M,399996,1,TYPE-B,29,0,ANNUAL,602133,CANCELLED,20090304,20100503
A01365,12,100000,M,M,300000,1,TYPE-B,59,2,SEMI-ANNUAL,370544,CANCELLED,20090320,20091119
A01366,9,100000,M,M,249996,5,TYPE-B,37,1,ANNUAL,384644,INFORCE,20090306,
A01367,22,101355,M,M,600000,1,TYPE-B,35,2,SEMI-ANNUAL,587044,INFORCE,20090312,
A01368,12,200000,W,M,399996,1,TYPE-B,45,0,ANNUAL,298699,CANCELLED,20090316,20100513
A01369,52,120000.96,S,M,289992,1,TYPE-B,30,0,MONTHLY,147844,INFORCE,20090306,
A01370,9,100000,M,M,999996,1,TYPE-B,57,2,ANNUAL,599099,INFORCE,20090326,
A01371,22,119999.88,M,M,240000,1,TYPE-B,37,2,MONTHLY,552599,CANCELLED,20090331,20090727
A01372,16,100000,M,F,150000,1,TYPE-B,69,2,ANNUAL,343344,INFORCE,20090306,
A01373,9,120000,M,M,500004,5,TYPE-B,45,1,SEMI-ANNUAL,383577,INFORCE,20090316,
A01374,17,100000,M,M,2000004,1,TYPE-B,49,1,ANNUAL,594855,INFORCE,20090313,
A01375,52,100000.8,M,M,450000,1,TYPE-B,33,3,MONTHLY,143988,CANCELLED,20090309,20090706
A01376,12,200000,M,M,1200000,1,TYPE-B,44,1,ANNUAL,592066,INFORCE,20090313,
A01377,17,116019.62,M,M,999996,1,TYPE-A,37,1,SEMI-ANNUAL,179633,CANCELLED,20090309,20100408
A01378,20,100000,M,M,450000,1,TYPE-B,65,3,SEMI-ANNUAL,587177,INFORCE,20090309,
A01379,19,102000.84,M,M,350004,1,TYPE-B,66,1,MONTHLY,635055,CANCELLED,20090312,20090709
A01380,12,100200,S,M,350004,1,TYPE-B,21,0,MONTHLY,521900,CANCELLED,20090313,20090711
A01381,12,100000.8,M,M,290004,1,TYPE-B,33,2,MONTHLY,542244,CANCELLED,20090312,20090709
A01382,12,100000.8,S,M,399996,1,TYPE-B,25,0,MONTHLY,107377,INFORCE,20090309,
A01383,17,100000,M,M,180000,1,TYPE-B,51,2,SEMI-ANNUAL,132888,CANCELLED,20090318,20091117
A01384,19,250000,M,M,2700000,1,TYPE-B,56,2,SEMI-ANNUAL,262399,INFORCE,20090330,
A01385,12,101000,M,M,249996,5,TYPE-B,39,3,QUARTERLY,538333,CANCELLED,20090316,20090815
A01386,17,100000,M,F,500004,1,TYPE-B,44,2,SEMI-ANNUAL,381622,CANCELLED,20090313,20111109
A01387,28,100000,M,M,699996,1,TYPE-B,57,2,ANNUAL,495099,INFORCE,20090312,
A01388,31,108000.84,M,M,500004,1,TYPE-B,53,3,MONTHLY,90477,CANCELLED,20090312,20090709
A01389,12,100008,S,M,200004,1,TYPE-B,33,0,MONTHLY,588799,INFORCE,20090319,
A01390,12,100000,W,F,200004,1,TYPE-B,39,0,SEMI-ANNUAL,623955,INFORCE,20090312,
A01391,12,100000,S,M,350004,5,TYPE-B,19,0,QUARTERLY,21699,INFORCE,20090316,
A01392,9,100000,M,M,732000,1,TYPE-B,39,3,ANNUAL,541933,INFORCE,20090313,
A01393,17,100001,M,M,3000000,1,TYPE-B,36,2,ANNUAL,62822,INFORCE,20090312,
A01394,43,100000,M,M,450000,1,TYPE-B,42,2,ANNUAL,348066,INFORCE,20090312,
A01395,12,100000,M,M,150000,1,TYPE-B,29,3,SEMI-ANNUAL,632311,INFORCE,20090324,
A01396,27,100000.8,M,M,1800000,5,TYPE-B,36,2,MONTHLY,303511,INFORCE,20090323,
A01397,12,100000,M,F,249996,1,TYPE-B,30,3,SEMI-ANNUAL,208700,INFORCE,20090313,
A01398,42,100000,M,M,200004,1,TYPE-B,43,3,SEMI-ANNUAL,644588,INFORCE,20090313,
A01399,12,100000,M,M,200004,5,TYPE-B,23,3,SEMI-ANNUAL,200533,CANCELLED,20090313,20111112
A01400,43,100000,M,M,249996,1,TYPE-B,42,1,SEMI-ANNUAL,644588,INFORCE,20090313,
A01401,58,120000.96,S,M,300000,1,TYPE-B,24,0,MONTHLY,315855,INFORCE,20090313,
A01402,17,100000.8,M,M,500004,1,TYPE-B,39,2,MONTHLY,604033,CANCELLED,20090313,20091112
A01403,9,100000,M,M,350004,1,TYPE-B,46,3,ANNUAL,544200,INFORCE,20090313,
A01404,17,119999.88,M,M,600000,1,TYPE-B,36,2,MONTHLY,517833,CANCELLED,20090313,20100211
A01405,12,101250,W,F,399996,5,TYPE-B,46,0,SEMI-ANNUAL,463566,INFORCE,20090316,
A01406,9,100000,M,M,,6,TYPE-B,64,3,ANNUAL,504511,INFORCE,20090331,
A01407,28,150001.2,M,M,600000,1,TYPE-B,47,1,MONTHLY,153955,CANCELLED,20090330,20091126
A01408,12,100800,M,F,229992,1,TYPE-B,41,1,MONTHLY,493377,CANCELLED,20090316,20110515
